# Constructed from biom file
#OTU ID	SRR9277638	SRR9277639	SRR9277640	SRR9277641	SRR9277642	SRR9277643	SRR9277644	SRR9277645	SRR9277646	SRR9277647	SRR9277648	SRR9277649	SRR9277650	SRR9277651	SRR9277652	SRR9277653	SRR9277654	SRR9277655	SRR9277656	SRR9277657	SRR9277658	SRR9277659	SRR9277660	SRR9277661	SRR9277662	SRR9277663	SRR9277664	SRR9277665	SRR9277666	SRR9277667
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.0	0.0	66.0	815.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0	11.0	0.0	0.0	1122.0	10.0	0.0	0.0	2.0	0.0	0.0	16.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia	0.0	50.0	0.0	0.0	7.0	30.0	10.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	84.0	9.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	115.0	0.0	280.0	0.0	130.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;__	0.0	0.0	0.0	0.0	0.0	11.0	509.0	0.0	0.0	0.0	110.0	106.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058	63.0	15.0	0.0	0.0	104.0	93.0	36.0	0.0	0.0	0.0	78.0	38.0	48.0	0.0	51.0	85.0	38.0	6.0	0.0	148.0	23.0	35.0	61.0	0.0	0.0	11.0	0.0	27.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Shuttleworthia	0.0	0.0	0.0	0.0	5.0	89.0	0.0	0.0	0.0	0.0	0.0	26.0	17.0	0.0	61.0	20.0	62.0	0.0	0.0	175.0	3.0	49.0	32.0	0.0	0.0	0.0	74.0	20.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus	0.0	9.0	0.0	0.0	0.0	225.0	55.0	0.0	0.0	0.0	0.0	64.0	22.0	0.0	70.0	0.0	20.0	0.0	0.0	40.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium	0.0	0.0	40.0	0.0	0.0	5.0	13.0	10.0	0.0	68.0	9.0	164.0	75.0	0.0	109.0	0.0	18.0	1.0	0.0	19.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	127.0	0.0	17.0	0.0	0.0	68.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Mogibacterium	0.0	13.0	0.0	0.0	210.0	229.0	42.0	0.0	0.0	0.0	0.0	11.0	43.0	0.0	83.0	2.0	12.0	0.0	0.0	8.0	0.0	23.0	0.0	0.0	0.0	6.0	0.0	36.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	115.0	0.0	6.0	242.0	0.0	0.0	2.0	0.0	0.0	22.0	22.0	79.0	2.0	0.0
